	AspNid.proteins	ggMorZona1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzPodHuml1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
Number of genes	10534	14488	13857	12246	14319	10880	10654	11613
Number of genes in orthogroups	7802	13817	13251	11406	13094	10546	10349	11150
Number of unassigned genes	2732	671	606	840	1225	334	305	463
Percentage of genes in orthogroups	74.1	95.4	95.6	93.1	91.4	96.9	97.1	96.0
Percentage of unassigned genes	25.9	4.6	4.4	6.9	8.6	3.1	2.9	4.0
Number of orthogroups containing species	5096	9373	9412	7929	8104	7723	7781	7763
Percentage of orthogroups containing species	36.7	67.5	67.8	57.1	58.3	55.6	56.0	55.9
Number of species-specific orthogroups	581	43	75	145	283	41	48	65
Number of genes in species-specific orthogroups	2238	146	227	498	1648	101	165	241
Percentage of genes in species-specific orthogroups	21.2	1.0	1.6	4.1	11.5	0.9	1.5	2.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	8793	4516	4477	5960	5785	6166	6108	6126
'1	4001	6645	7074	5712	5692	5819	6040	5643
'2	632	1870	1670	1643	1668	1314	1259	1383
'3	196	533	379	360	401	391	317	466
'4	94	164	135	92	123	134	105	165
'5	40	71	67	51	64	33	27	48
'6	37	30	24	23	39	17	16	24
'7	21	21	18	9	21	5	5	15
'8	23	8	11	5	20	8	2	6
'9	5	9	9	9	14	0	3	3
'10	12	5	4	5	10	1	1	4
11-15	21	9	13	14	23	1	4	6
16-20	7	5	5	2	7	0	0	0
21-50	5	3	3	4	18	0	2	0
51-100	2	0	0	0	3	0	0	0
101-150	0	0	0	0	1	0	0	0
151-200	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	63.3	32.5	32.2	42.9	41.7	44.4	44.0	44.1
'1	28.8	47.8	50.9	41.1	41.0	41.9	43.5	40.6
'2	4.6	13.5	12.0	11.8	12.0	9.5	9.1	10.0
'3	1.4	3.8	2.7	2.6	2.9	2.8	2.3	3.4
'4	0.7	1.2	1.0	0.7	0.9	1.0	0.8	1.2
'5	0.3	0.5	0.5	0.4	0.5	0.2	0.2	0.3
'6	0.3	0.2	0.2	0.2	0.3	0.1	0.1	0.2
'7	0.2	0.2	0.1	0.1	0.2	0.0	0.0	0.1
'8	0.2	0.1	0.1	0.0	0.1	0.1	0.0	0.0
'9	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.0
'10	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0
11-15	0.2	0.1	0.1	0.1	0.2	0.0	0.0	0.0
16-20	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0
'1	4001	6645	7074	5712	5692	5819	6040	5643
'2	1264	3740	3340	3286	3336	2628	2518	2766
'3	588	1599	1137	1080	1203	1173	951	1398
'4	376	656	540	368	492	536	420	660
'5	200	355	335	255	320	165	135	240
'6	222	180	144	138	234	102	96	144
'7	147	147	126	63	147	35	35	105
'8	184	64	88	40	160	64	16	48
'9	45	81	81	81	126	0	27	27
'10	120	50	40	50	100	10	10	40
11-15	267	117	162	175	288	14	50	79
16-20	125	87	87	35	120	0	0	0
21-50	147	96	97	123	529	0	51	0
51-100	116	0	0	0	207	0	0	0
101-150	0	0	0	0	140	0	0	0
151-200	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	38.0	45.9	51.1	46.6	39.8	53.5	56.7	48.6
'2	12.0	25.8	24.1	26.8	23.3	24.2	23.6	23.8
'3	5.6	11.0	8.2	8.8	8.4	10.8	8.9	12.0
'4	3.6	4.5	3.9	3.0	3.4	4.9	3.9	5.7
'5	1.9	2.5	2.4	2.1	2.2	1.5	1.3	2.1
'6	2.1	1.2	1.0	1.1	1.6	0.9	0.9	1.2
'7	1.4	1.0	0.9	0.5	1.0	0.3	0.3	0.9
'8	1.7	0.4	0.6	0.3	1.1	0.6	0.2	0.4
'9	0.4	0.6	0.6	0.7	0.9	0.0	0.3	0.2
'10	1.1	0.3	0.3	0.4	0.7	0.1	0.1	0.3
11-15	2.5	0.8	1.2	1.4	2.0	0.1	0.5	0.7
16-20	1.2	0.6	0.6	0.3	0.8	0.0	0.0	0.0
21-50	1.4	0.7	0.7	1.0	3.7	0.0	0.5	0.0
51-100	1.1	0.0	0.0	0.0	1.4	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
